1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
1,34,1,43,4,2,1,4,2,1
